,word,row,col,endpoint,direction,completion
0,passed,25,25,30,ACROSS,0
1,ripper,21,29,26,DOWN,0
2,sniff,22,27,31,ACROSS,0
3,valves,17,27,22,DOWN,0
4,illnesses,19,25,33,ACROSS,0
5,germans,13,30,19,DOWN,0
6,teens,14,28,32,ACROSS,0
7,distressing,7,32,17,DOWN,0
8,saloon,9,32,37,ACROSS,0
9,afar,11,29,32,ACROSS,0
10,speedos,7,28,34,ACROSS,0
11,saddened,1,30,8,DOWN,0
12,unbecoming,5,27,36,ACROSS,0
13,homey,8,35,12,DOWN,0
14,boardroom,2,28,36,ACROSS,0
15,parasite,8,28,15,DOWN,0
16,punctuation,7,37,17,DOWN,0
17,obvious,12,22,28,ACROSS,0
18,travels,11,37,43,ACROSS,0
19,hater,10,24,28,ACROSS,0
20,lecture,14,34,40,ACROSS,0
21,rely,9,42,12,DOWN,0
22,apparatus,7,36,44,ACROSS,0
23,mysteries,2,40,10,DOWN,0
24,boxing,16,36,41,ACROSS,0
25,cloak,0,34,4,DOWN,0
26,startup,4,40,46,ACROSS,0
27,hassled,5,44,11,DOWN,0
28,gospel,1,46,6,DOWN,0
29,illustrated,13,34,23,DOWN,0
30,candlelight,0,34,44,ACROSS,0
31,toms,2,38,41,ACROSS,0
32,domain,23,34,39,ACROSS,0
33,rabbit,5,26,10,DOWN,0
34,shits,17,25,21,DOWN,0
35,tight,18,34,38,ACROSS,0
36,poisons,17,19,25,ACROSS,0
37,ifs,21,23,25,ACROSS,0
38,affect,20,34,39,ACROSS,0
39,deserted,15,22,22,DOWN,0
40,racial,22,37,27,DOWN,0
41,craft,20,18,22,ACROSS,0
42,cricket,25,35,41,ACROSS,0
43,terrific,12,39,19,DOWN,0
44,propulsion,27,32,41,ACROSS,0
45,fitness,22,31,28,DOWN,0
46,capitol,7,22,13,DOWN,0
47,tarp,8,21,24,ACROSS,0
48,bitterness,28,22,31,ACROSS,0
49,powerhouse,26,34,35,DOWN,0
50,tarantulas,30,32,41,ACROSS,0
51,courses,32,33,39,ACROSS,0
52,battleground,15,11,22,ACROSS,0
53,formed,22,17,22,ACROSS,0
54,simultaneously,34,23,36,ACROSS,0
55,brilliant,7,13,15,DOWN,0
56,hunting,9,9,15,ACROSS,0
57,bars,7,13,16,ACROSS,0
58,polygraph,11,11,19,ACROSS,0
59,regaining,13,10,18,ACROSS,0
60,strips,1,38,6,DOWN,0
61,riches,2,16,7,DOWN,0
