,eng,part,mean
0,aardvark,noun,"The nocturnal, insectivorous, burrowing, mammal Orycteropus afer, of the order Tubulidentata, somewhat resembling a pig, common in some parts of sub-Saharan Africa."
1,aargh,interjection,"Expressing annoyance, dismay, embarrassment or frustration."
2,aback,adverb,Towards the back or rear; backwards.
3,abacus,noun,A table or tray scattered with sand which was used for calculating or drawing.
4,abandon,verb,"To give up or relinquish control of, to surrender or to give oneself over, or to yield to one's emotions."
5,abandoned,verb,"To give up or relinquish control of, to surrender or to give oneself over, or to yield to one's emotions."
6,abandoning,verb,"To give up or relinquish control of, to surrender or to give oneself over, or to yield to one's emotions."
7,abandonment,noun,"The act of abandoning, or the state of being abandoned; total desertion; relinquishment."
8,abandons,verb,"To give up or relinquish control of, to surrender or to give oneself over, or to yield to one's emotions."
9,abba,noun,"Father; religious superior; in the Syriac, Coptic, and Ethiopic churches, a title given to the bishops, and by the bishops to the patriarch; a title given to Jewish scholars in the Talmudic period."
10,abbey,noun,The office or dominion of an abbot or abbess.
11,abbot,noun,The superior or head of an abbey or monastery.
12,abbots,noun,The superior or head of an abbey or monastery.
13,abdomen,noun,The fat surrounding the belly.
14,abdominal,noun,A fish of the order Abdominales.
15,abduct,verb,To take away by force; to carry away (a human being) wrongfully and usually with violence or deception; to kidnap.
16,abducted,verb,To take away by force; to carry away (a human being) wrongfully and usually with violence or deception; to kidnap.
17,abducting,verb,To take away by force; to carry away (a human being) wrongfully and usually with violence or deception; to kidnap.
18,abduction,noun,Leading away; a carrying away.
19,abductions,noun,Leading away; a carrying away.
20,aberration,noun,"The act of wandering; deviation from truth, moral rectitude; abnormal; divergence from the straight, correct, proper, normal, or from the natural state."
21,abetted,verb,"To urge on, stimulate (a person to do) something desirable."
22,abide,verb,To endure without yielding; to withstand; await defiantly; to encounter; to persevere.
23,abiding,verb,To endure without yielding; to withstand; await defiantly; to encounter; to persevere.
24,abigail,noun,A lady's maid.
25,abilities,noun,Suitableness.
26,ability,noun,Suitableness.
27,ablaze,adjective,Burning fiercely; in a blaze; on fire.
28,able,adjective,Easy to use.
29,abnormal,noun,A person or object that is not normal.
30,abnormalities,noun,The state or quality of being abnormal; variation; irregularity.
31,abnormality,noun,The state or quality of being abnormal; variation; irregularity.
32,abnormally,adverb,"In an abnormal manner; in a way that deviates from a standard, norm, or average."
33,aboard,adverb,"On board; into or within a ship or boat; hence, into or within a railway car."
34,abode,verb,To endure without yielding; to withstand; await defiantly; to encounter; to persevere.
35,abolish,verb,"To end a law, system, institution, custom or practice."
36,abominable,adjective,"Worthy of, or causing, abhorrence, as a thing of evil omen; odious in the utmost degree; very hateful; detestable; loathsome; execrable."
37,abomination,noun,An abominable act; a disgusting vice; a despicable habit.
38,aboriginal,noun,"An Aboriginal inhabitant of Australia, Aborigine."
39,abort,noun,A miscarriage; an untimely birth; an abortion.
40,abortion,noun,"The expulsion from the womb of a foetus or embryo before it is fully developed, with loss of the foetus; either naturally as a spontaneous abortion (now usually called a miscarriage), or deliberately as an induced abortion."
41,abortions,noun,"The expulsion from the womb of a foetus or embryo before it is fully developed, with loss of the foetus; either naturally as a spontaneous abortion (now usually called a miscarriage), or deliberately as an induced abortion."
42,abound,verb,To be full to overflowing.
43,about,adjective,Moving around; astir.
44,above,noun,Heaven.
45,aboveboard,adjective,"In open sight; without trick, concealment, or deception."
46,abrasive,noun,"A substance or material such as sandpaper, pumice, or emery, used for cleaning, smoothing, or polishing."
47,abreast,adjective,"Side by side, facing forward."
48,abroad,noun,Countries or lands abroad.
49,abrupt,noun,Something which is abrupt; an abyss.
50,abruptly,adverb,"In an abrupt manner; without giving notice, or without the usual forms; suddenly; precipitously."
51,abs,noun,Abdominal muscle.
52,absconded,verb,"To flee, often secretly; to steal away, particularly to avoid arrest or prosecution."
53,absence,noun,A state of being away or withdrawn from a place or from companionship; the period of being away.
54,absences,noun,A state of being away or withdrawn from a place or from companionship; the period of being away.
55,absent,noun,"(with definite article) Something absent, especially absent people collectively; those who were or are not there."
56,absentee,noun,"A person who is absent from his or her employment, school, post, duty, etc."
57,absolute,noun,"That which is independent of context-dependent interpretation, inviolate, fundamental."
58,absolutely,adverb,"In an absolute or unconditional manner; utterly, positively, wholly."
59,absolutes,noun,"That which is independent of context-dependent interpretation, inviolate, fundamental."
60,absolution,noun,An absolving of sins from ecclesiastical penalties by an authority.
61,absolved,verb,"To set free, release or discharge (from obligations, debts, responsibility etc.)."
62,absorb,verb,To include so that it no longer has separate existence; to overwhelm; to cause to disappear as if by swallowing up; to incorporate; to assimilate; to take in and use up.
63,absorbed,verb,To include so that it no longer has separate existence; to overwhelm; to cause to disappear as if by swallowing up; to incorporate; to assimilate; to take in and use up.
64,absorbent,noun,Anything which absorbs.
65,absorbing,verb,To include so that it no longer has separate existence; to overwhelm; to cause to disappear as if by swallowing up; to incorporate; to assimilate; to take in and use up.
66,absorption,noun,"The act or process of absorbing or of being absorbed as,"
67,abstain,verb,Keep or withhold oneself.
68,abstinence,noun,"The act or practice of abstaining, refraining from indulging a desire or appetite."
69,abstract,noun,An abridgement or summary of a longer publication.
70,absurd,noun,An absurdity.
71,absurdity,noun,That which is absurd; an absurd action; a logical contradiction.
72,absurdly,adverb,In an absurd fashion.
73,abundance,noun,A large quantity; many.
74,abundant,adjective,Fully sufficient; found in copious supply; in great quantity; overflowing.
75,abundantly,adverb,In an abundant manner; in a sufficient degree; in large measure.
76,abuse,noun,"Improper treatment or usage; application to a wrong or bad purpose; an unjust, corrupt or wrongful practice or custom."
77,abused,verb,To put to a wrong use; to misapply; to use improperly; to misuse; to use for a wrong purpose or end; to pervert
78,abuser,noun,One who abuses someone or something.
79,abusing,verb,To put to a wrong use; to misapply; to use improperly; to misuse; to use for a wrong purpose or end; to pervert
80,abusive,adjective,"Prone to treat someone badly by coarse, insulting words or other maltreatment; vituperative; reproachful; scurrilous."
81,abut,verb,"To touch by means of a mutual border, edge or end; to border on; to lie adjacent (to); to be contiguous (said of an area of land)"
82,abysmal,adjective,"Pertaining to, or resembling an abyss."
83,academia,noun,"(collective) The scientific and cultural community engaged in higher education and research, taken as a whole."
84,academic,noun,"(usually capitalized) A follower of Plato, a Platonist."
85,academics,noun,"(usually capitalized) A follower of Plato, a Platonist."
86,academy,noun,(usually capitalized) The garden where Plato taught.
87,accelerant,noun,"Any substance that can bond, mix, or disturb another substance and cause an increase in the speed of a natural or artificial chemical process."
88,accelerate,verb,To cause to move faster; to quicken the motion of; to add to the speed of.
89,accelerated,verb,To cause to move faster; to quicken the motion of; to add to the speed of.
90,accelerating,verb,To cause to move faster; to quicken the motion of; to add to the speed of.
91,acceleration,noun,"The act of accelerating, or the state of being accelerated; increase of motion or action; as opposed to retardation or deceleration."
92,accent,noun,A higher-pitched or stronger articulation of a particular syllable of a word or phrase in order to distinguish it from the others or to emphasize it.
93,accents,noun,A higher-pitched or stronger articulation of a particular syllable of a word or phrase in order to distinguish it from the others or to emphasize it.
94,accept,verb,"To receive, especially with a consent, with favour, or with approval."
95,acceptable,adjective,"Worthy, decent, sure of being accepted or received with at least moderate pleasure"
96,acceptance,noun,"The act of accepting; a receiving of something offered, with acquiescence, approbation, or satisfaction; especially, favourable reception; approval."
97,accepted,verb,"To receive, especially with a consent, with favour, or with approval."
98,accepting,verb,"To receive, especially with a consent, with favour, or with approval."
99,accepts,verb,"To receive, especially with a consent, with favour, or with approval."
100,access,noun,A way or means of approaching or entering; an entrance; a passage.
101,accessible,adjective,Easy of access or approach.
102,accessories,noun,"Something that belongs to part of another main thing; something additional and subordinate, an attachment."
103,accessory,adjective,"Having a secondary, supplementary or subordinate function by accompanying as a subordinate; aiding in a secondary way; being additional; being connected as an incident or subordinate to a principal; contributing or being contributory. Said of people and things, and, when of people, usually in a bad sense"
104,accident,noun,An unexpected event with negative consequences occurring without the intention of the one suffering the consequences.
105,accidental,noun,A property which is not essential; a nonessential; anything happening accidentally.
106,accidentally,adverb,"In an accidental manner; by chance, unexpectedly."
107,accidents,noun,An unexpected event with negative consequences occurring without the intention of the one suffering the consequences.
108,acclaim,verb,To shout; to call out.
109,acclimate,verb,To habituate to a climate not native; to acclimatize.
110,acclimated,verb,To habituate to a climate not native; to acclimatize.
