,word,row,col,endpoint,direction,completion
0,half,25,25,28,ACROSS,0
1,fangs,24,26,28,DOWN,0
2,hugged,27,23,28,ACROSS,0
3,heaven,27,23,32,DOWN,0
4,accounts,29,23,30,ACROSS,0
5,beckons,31,22,28,ACROSS,0
6,potential,24,29,32,DOWN,0
7,unstuck,30,27,36,DOWN,0
8,shanks,36,23,28,ACROSS,0
9,inquiry,34,24,30,ACROSS,0
10,heritage,36,24,43,DOWN,0
11,eyebrows,38,20,27,ACROSS,0
12,impudence,43,16,24,ACROSS,0
13,proms,24,29,33,ACROSS,0
14,thistle,26,29,35,ACROSS,0
15,demographic,41,18,28,ACROSS,0
16,lobotomy,32,29,36,ACROSS,0
17,arrhythmia,27,33,36,DOWN,0
18,mildly,34,33,38,ACROSS,0
19,copperhead,19,35,28,DOWN,0
20,dalton,20,31,36,ACROSS,0
21,mastectomy,36,32,41,ACROSS,0
22,pygmies,22,35,41,ACROSS,0
23,collection,15,39,24,DOWN,0
24,acts,15,38,41,ACROSS,0
25,demented,19,38,45,ACROSS,0
26,proximity,29,32,40,ACROSS,0
27,lingerie,17,39,46,ACROSS,0
28,drawers,9,41,15,DOWN,0
29,documents,13,36,44,ACROSS,0
30,ensue,24,38,42,ACROSS,0
31,deliberately,10,35,46,ACROSS,0
32,significant,0,43,10,DOWN,0
33,diced,1,42,46,ACROSS,0
34,crowns,3,39,44,ACROSS,0
35,pounds,2,41,7,DOWN,0
36,mumbles,7,35,41,ACROSS,0
37,elderly,1,45,7,DOWN,0
38,embarrassingly,8,33,21,DOWN,0
39,bard,8,42,45,ACROSS,0
40,repression,5,32,41,ACROSS,0
41,ascension,15,28,36,ACROSS,0
42,spurt,12,30,34,ACROSS,0
43,condolences,8,24,34,ACROSS,0
44,slippery,3,30,10,DOWN,0
45,bracing,17,29,35,ACROSS,0
46,sung,3,30,33,ACROSS,0
47,reputed,0,36,6,DOWN,0
48,circus,0,34,39,ACROSS,0
49,macaroons,1,26,9,DOWN,0
50,amputation,6,18,27,ACROSS,0
51,murders,1,26,32,ACROSS,0
52,eyed,4,45,48,ACROSS,0
53,feeding,1,48,7,DOWN,0
54,confidante,4,20,29,ACROSS,0
55,remark,3,18,8,DOWN,0
56,misread,10,28,16,DOWN,0
57,organise,4,11,18,ACROSS,0
58,survivor,13,21,28,ACROSS,0
59,orphaned,0,14,7,DOWN,0
60,results,1,14,20,ACROSS,0
61,ketchup,8,22,14,DOWN,0
62,limbs,1,38,5,DOWN,0
63,intends,7,9,15,ACROSS,0
64,inspect,10,16,22,ACROSS,0
65,nylons,0,22,5,DOWN,0
66,sundress,5,10,12,DOWN,0
67,paramedics,5,1,10,ACROSS,0
68,individuals,11,0,10,ACROSS,0
69,claims,10,24,29,ACROSS,0
70,needy,2,7,6,DOWN,0
71,sickened,2,2,9,ACROSS,0
72,textbook,6,12,13,DOWN,0
73,begrudge,6,2,13,DOWN,0
74,alight,2,16,7,DOWN,0
75,dolls,12,11,15,ACROSS,0
76,transfusions,3,0,14,DOWN,0
77,pixels,7,20,12,DOWN,0
78,berry,7,1,5,ACROSS,0
79,instructing,9,17,19,DOWN,0
80,promotion,9,1,9,ACROSS,0
81,accumulate,15,15,24,ACROSS,0
82,comrades,11,46,18,DOWN,0
83,raging,17,14,19,ACROSS,0
84,relies,13,1,6,ACROSS,0
85,rehab,15,43,47,ACROSS,0
86,fugu,19,15,18,ACROSS,0
87,silicone,8,37,15,DOWN,0
88,extension,13,5,21,DOWN,0
89,monument,16,0,7,ACROSS,0
90,intrusion,18,0,8,ACROSS,0
91,reserve,13,14,19,DOWN,0
92,rash,0,2,3,DOWN,0
93,castles,10,8,16,DOWN,0
94,ordinates,0,1,9,ACROSS,0
95,dean,21,2,5,ACROSS,0
96,glamor,14,7,12,ACROSS,0
97,busted,11,44,16,DOWN,0
98,affectionately,21,42,34,DOWN,0
99,starboard,28,31,36,DOWN,0
100,heaved,32,38,43,ACROSS,0
101,scoff,34,39,38,DOWN,0
102,trimmers,27,40,47,ACROSS,0
103,sugar,0,12,4,DOWN,0
104,camera,30,41,46,ACROSS,0
105,ailing,21,42,47,ACROSS,0
106,eggnog,11,35,16,DOWN,0
107,tweeze,15,23,20,DOWN,0
108,hut,3,35,37,ACROSS,0
109,artiste,1,24,7,DOWN,0
110,unnatural,15,20,23,DOWN,0
111,disposing,12,25,20,DOWN,0
112,ticklish,23,16,23,ACROSS,0
113,manning,14,10,20,DOWN,0
114,barricade,21,17,25,ACROSS,0
115,caballero,23,18,31,DOWN,0
116,frills,27,14,19,ACROSS,0
117,handrail,30,14,21,ACROSS,0
118,hacking,25,38,31,DOWN,0
119,slashing,24,47,31,DOWN,0
120,detonated,20,3,28,DOWN,0
121,sinus,18,24,28,ACROSS,0
122,squid,18,28,22,DOWN,0
123,indignities,24,2,12,ACROSS,0
124,crunches,16,30,23,DOWN,0
125,hybrids,25,16,22,ACROSS,0
126,harping,19,7,25,DOWN,0
127,aircraft,38,33,40,ACROSS,0
128,hammers,18,12,24,DOWN,0
129,pollard,22,15,28,DOWN,0
130,luge,20,8,11,ACROSS,0
131,broader,22,45,28,DOWN,0
132,institutional,26,0,12,ACROSS,0
133,petting,21,1,27,DOWN,0
134,repertoire,29,44,38,DOWN,0
135,teenaged,17,37,24,DOWN,0
136,sordid,23,43,48,ACROSS,0
137,exceptions,36,36,45,DOWN,0
138,marched,37,42,48,ACROSS,0
139,salsa,45,33,37,ACROSS,0
140,ruin,33,44,47,ACROSS,0
