,word,row,col,endpoint,direction,completion
0,hatchback,25,25,33,ACROSS,0
1,honored,25,25,31,DOWN,0
2,enabled,27,24,30,ACROSS,0
3,galaxy,22,31,27,DOWN,0
4,fling,22,27,31,ACROSS,0
5,raked,29,25,29,ACROSS,0
6,fizz,21,29,24,DOWN,0
7,pothead,31,19,25,ACROSS,0
8,phonies,26,23,32,DOWN,0
9,preservatives,23,21,35,DOWN,0
10,bewitched,25,14,22,ACROSS,0
11,outlive,27,15,21,ACROSS,0
12,supercollider,34,10,22,ACROSS,0
13,enjoy,29,28,33,DOWN,0
14,horny,32,27,31,ACROSS,0
15,puppies,23,18,24,ACROSS,0
16,schooling,29,17,37,DOWN,0
17,sergeant,36,11,18,ACROSS,0
18,bucko,32,13,17,ACROSS,0
19,quitters,29,10,17,ACROSS,0
20,leash,20,24,24,DOWN,0
21,marshmallow,20,16,26,ACROSS,0
22,birthmark,13,18,21,DOWN,0
23,consent,16,12,18,ACROSS,0
24,killing,14,14,20,ACROSS,0
25,spiral,9,16,14,DOWN,0
26,treads,9,11,16,ACROSS,0
27,malignant,11,13,21,ACROSS,0
28,jealousy,12,13,19,DOWN,0
29,glorious,18,6,13,ACROSS,0
30,rooming,18,15,21,ACROSS,0
31,dormant,3,11,9,DOWN,0
32,perpetuating,5,9,20,ACROSS,0
33,coughing,0,18,7,DOWN,0
34,offering,1,18,25,ACROSS,0
35,houseguest,3,13,22,ACROSS,0
36,heroics,14,10,20,DOWN,0
37,blatant,7,7,13,ACROSS,0
38,hallucinogen,15,0,11,ACROSS,0
39,continuance,13,3,13,ACROSS,0
40,eyeball,1,8,7,DOWN,0
41,swivel,1,4,9,ACROSS,0
42,jerks,20,6,10,ACROSS,0
43,hangers,3,4,10,ACROSS,0
44,eth,1,13,3,DOWN,0
45,fungi,7,15,19,ACROSS,0
46,mound,8,20,12,DOWN,0
47,adrenaline,3,5,12,DOWN,0
48,provoked,9,18,25,ACROSS,0
49,launches,11,2,9,ACROSS,0
50,lightened,0,23,8,DOWN,0
51,sidebar,8,0,6,ACROSS,0
52,arose,6,1,5,ACROSS,0
53,newborns,5,22,29,ACROSS,0
54,solicitation,4,26,15,DOWN,0
55,contradictory,8,26,38,ACROSS,0
56,shaming,11,24,30,ACROSS,0
57,greaseball,1,31,10,DOWN,0
58,elected,3,26,32,ACROSS,0
59,allergies,0,0,8,DOWN,0
60,lectured,6,30,37,ACROSS,0
61,blatantly,15,21,29,ACROSS,0
62,swarming,13,21,28,ACROSS,0
63,fortuneteller,7,36,19,DOWN,0
64,commencing,12,31,40,ACROSS,0
65,merchant,15,35,42,ACROSS,0
66,alternate,10,34,42,ACROSS,0
67,perimeters,18,29,38,ACROSS,0
68,lot,1,0,2,ACROSS,0
69,ugliness,1,30,37,ACROSS,0
70,syllable,3,42,10,DOWN,0
71,comfortable,15,5,25,DOWN,0
72,alcazar,5,41,47,ACROSS,0
73,spoiled,3,42,48,ACROSS,0
74,newborn,23,2,8,ACROSS,0
75,kissed,25,1,6,ACROSS,0
76,snit,21,2,5,ACROSS,0
77,bacteria,7,41,48,ACROSS,0
78,sentences,6,45,14,DOWN,0
79,sedation,0,3,7,DOWN,0
80,spiking,5,39,11,DOWN,0
81,aspire,0,36,5,DOWN,0
82,streak,4,34,39,ACROSS,0
83,reasons,0,21,6,DOWN,0
84,adoration,7,48,15,DOWN,0
85,donut,11,43,47,ACROSS,0
86,rubies,13,41,46,ACROSS,0
87,conceive,13,32,20,DOWN,0
88,cleanses,20,30,37,ACROSS,0
89,fault,0,46,4,DOWN,0
90,crews,1,11,15,ACROSS,0
91,lederhosen,10,0,19,DOWN,0
92,grub,11,30,14,DOWN,0
93,loneliest,11,2,19,DOWN,0
94,quickest,21,1,28,DOWN,0
95,daughters,14,40,22,DOWN,0
96,thefts,0,43,48,ACROSS,0
97,scheduled,22,40,48,ACROSS,0
98,expedition,18,44,27,DOWN,0
99,accident,24,37,44,ACROSS,0
100,unbreakable,18,47,28,DOWN,0
101,trousers,28,1,8,ACROSS,0
102,nourishment,27,35,45,ACROSS,0
103,max,19,42,44,ACROSS,0
104,glide,17,40,44,ACROSS,0
105,restrict,3,33,10,DOWN,0
106,travels,17,15,23,DOWN,0
107,dipping,22,35,28,DOWN,0
108,dental,22,10,15,ACROSS,0
109,donuts,20,12,25,DOWN,0
110,curator,21,7,27,DOWN,0
111,repeated,27,38,34,DOWN,0
112,trials,31,35,40,ACROSS,0
113,ruby,20,45,48,ACROSS,0
114,advantages,34,37,46,ACROSS,0
115,form,14,31,34,ACROSS,0
116,solitaire,27,3,35,DOWN,0
117,cropped,29,34,40,ACROSS,0
118,lode,22,33,36,ACROSS,0
119,artist,30,0,5,ACROSS,0
120,donate,32,0,5,ACROSS,0
121,depression,29,46,38,DOWN,0
122,rock,16,30,33,ACROSS,0
123,depraved,34,0,7,ACROSS,0
124,suitor,32,41,46,ACROSS,0
125,levity,36,43,48,ACROSS,0
